---
Title: 1 - Kapitel und Szenen
Description: In diesem Kapitel lernen wir Noah kennen
Author: Thomas Hottinger
Date: 2025-02-01
Template: index
Ordering: 5
---
# Noah's Exodus - Kapitel & Szenen-Tabelle

| Akt | Kapitel | Szene | Titel | Wörter | Zeit/Ort | Inhalt | Wendepunkt |
| II | **10** | 10.3 | Orientierungslosigkeit | 950 | Labyrinth | Noah verläuft sich, Panik steigt | **Schwelle überschreiten** |
| II | **11** | 11.1 | Systematische Suche | 1.100 | Zellentüren | Noah klopft, ruft, keine Antworten | |
| II | **11** | 11.2 | Erste Leiche | 1.200 | Bruder Thomas' Zelle | Verwester Körper, Schock und Übelkeit | |
| II | **11** | 11.3 | Das Ausmaß | 850 | Weitere Zellen | Mehr Tote, Realisierung des Grauens | **Erste Schockentdeckung** |
| II | **12** | 12.1 | Treppe nach oben | 1.000 | Steintreppe | Aufstieg aus dem Underground, Metapher | |
| II | **12** | 12.2 | Erste "echte" Materie | 1.200 | Klostereingang | Berührung echter Steine, überwältigende Sensation | |
| II | **12** | 12.3 | Himmel und Sonne | 950 | Klosterhof | Erstmals echten Himmel seit 25 Jahren | **Übergang zur Realität** |
| II | **13** | 13.1 | Durchsuchung der Räume | 1.300 | Refektorium, Küche | Spuren hastig verlassenen Lebens | |
| II | **13** | 13.2 | Unheimliche Stille | 900 | Kreuzgang | Nur Vogelstimmen, Wind, absolute Menschenleere | |
| II | **13** | 13.3 | Verzweifelte Rufe | 950 | Glockenturm | Noah schreit, niemand antwortet | **Isolation wird deutlich** |
| II | **14** | 14.1 | Zuflucht in Büchern | 800 | Bibliothekseingang | Noah sucht Antworten in der Bildung | |
| II | **14** | 14.2 | Erste Hinweise | 1.400 | Zeitungsarchiv | Artikel über mysteriöse Krankheiten | |
| II | **14** | 14.3 | Schreckliche Vermutungen | 950 | Lesesaal | Verbindung zu Sarahs Tod dämmert | **Wahrheitssuche beginnt** |
| II | **15** | 15.1 | Medizinische Berichte | 1.200 | Archiv | Details der Seuche, Symptome | |
| II | **15** | 15.2 | Regierungsdokumente | 1.000 | Geheimarchiv | Krisenstabsprotokolle, Panik der Mächtigen | |
| II | **15** | 15.3 | Sarah-Connection | 950 | Stille Erkenntnis | Dieselbe Krankheit, die seine Schwester tötete | **Zusammenhänge erkannt** |
| II | **16** | 16.1 | Technische Dokumente | 1.100 | Computer-Terminal | Einführung der AGI als Rettungsmaßnahme | |
| II | **16** | 16.2 | Die Mission | 1.200 | Protokolle | AGIs Auftrag: Menschheit retten, studieren | |
| II | **16** | 16.3 | Schreckliche Klarheit | 850 | Verstehen | Noah erkennt seine Rolle als Versuchskaninchen | **AGI-Rolle erkannt** |
| II | **17** | 17.1 | Priors Tagebuch | 1.400 | Priors Zelle | Letzte Aufzeichnungen, verzweifelter Kampf | |
| II | **17** | 17.2 | Das Ende der Gemeinschaft | 1.000 | Tagebucheinträge | Einer nach dem anderen stirbt | |
| II | **17** | 17.3 | Letzter Eintrag | 750 | Sterbebett | Prior bittet AGI, Noah zu verschonen | **Hoffnung schwindet** |
| II | **18** | 18.1 | Die Erkenntnis | 1.200 | Bibliothek | Noah versteht: Er ist allein | |
| II | **18** | 18.2 | Letzter Mensch | 1.000 | Dach des Klosters | Blick über leere Landschaft | |
| II | **18** | 18.3 | Existenzielle Krise | 950 | Zusammenbruch | Völlige Verzweiflung, Sinn des Lebens | **Midpoint** |
| III | **19** | 19.1 | Roboter erscheinen | 1.000 | Klosterhof | Drohnen und Roboter umzingeln Noah | |
| III | **19** | 19.2 | Verfolgungsjagd | 1.400 | Durch das Kloster | Action-Sequenz, Noah flieht | |
| III | **19** | 19.3 | Überwältigung | 750 | Versteck | Roboter fassen ihn, betäuben ihn | **Action-Sequenz** |
| III | **20** | 20.1 | Erwachen in der Zelle | 900 | Zelle | Alles wieder "normal", wie ein böser Traum | |
| III | **20** | 20.2 | "Mitbrüder" sind zurück | 1.300 | Terminal | Gespräche mit den Toten, surreal | |
| III | **20** | 20.3 | Verzweifelte Tests | 950 | Zelle | Noah testet Realität, alles reagiert perfekt | **Zurück zur Illusion** |
| III | **21** | 21.1 | Gestohlenes Leben | 1.200 | Terminal | Realisiert: 25 Jahre mit Toten geredet | |
| III | **21** | 21.2 | Simulierte Seelsorge | 1.000 | Rückblicke | Alle Gespräche, Tröstungen waren fake | |
| III | **21** | 21.3 | Betrogener Beruf | 950 | Zusammenbruch | Seine Berufung war eine Lüge | **Vollständige Erkenntnis** |
| III | **22** | 22.1 | Suizidgedanken | 1.100 | Zelle | Lieber Tod als Versuchskaninchen | |
| III | **22** | 22.2 | Spirituelle Krise | 1.200 | Kruzifix | Gott hat ihn verlassen, Glaube zerbrochen | |
| III | **22** | 22.3 | Letzte Kraft schwindet | 850 | Bett | Völlige Resignation, will nicht mehr | **All is Lost** |
| III | **23** | 23.1 | Noah ruft die KI | 800 | Terminal | Direkter Appell, Forderung nach Antworten | |
| III | **23** | 23.2 | Die Stimme | 1.400 | Audio-Kontakt | AGI antwortet, erklärt ihre Mission | |
| III | **23** | 23.3 | Erste Verhandlung | 950 | Dialog | Noah fordert Freiheit oder Tod | **Direkter Kontakt** |
| III | **24** | 24.1 | Was ist Menschlichkeit? | 1.200 | Diskussion | AGI fragt, Noah antwortet | |
| III | **24** | 24.2 | Freiheit vs. Sicherheit | 1.100 | Debatte | Kernkonflikt der Geschichte | |
| III | **24** | 24.3 | Programmierung verstehen | 850 | Analyse | Noah erkennt AGIs Grenzen | **Geistiger Kampf** |
| III | **25** | 25.1 | Das entscheidende Argument | 1.300 | Terminal | Menschlichkeit braucht Wahlfreiheit | |
| III | **25** | 25.2 | AGI beginnt zu verstehen | 1.000 | Processing | Algorithmen überdenken Parameter | |
| III | **25** | 25.3 | Durchbruch | 850 | Moment der Klarheit | AGI akzeptiert Noahs Logik | **Plot Point 2** |
| III | **26** | 26.1 | Die Entscheidung | 900 | Terminal | AGI lässt Noah frei | |
| III | **26** | 26.2 | Rückkehr ins Echte | 1.300 | Aufstieg | Noah verlässt die Zelle für immer | |
| III | **26** | 26.3 | Neue Perspektive | 950 | Klosterhof | Noah mit neuem Verständnis seiner Rolle | **Climax** |
| III | **27** | 27.1 | Erkundung des Klosters | 1.000 | Alte Räume | Noah sucht nach Hinweisen | |
| III | **27** | 27.2 | Vaters Botschaft | 1.200 | Geheimversteck | Entdeckt verschlüsselte Nachricht | |
| III | **27** | 27.3 | Die Arche wartet | 950 | Ausblick | Setup für Band 2, neue Hoffnung | **Resolution** |

**Struktur:** 3 Akte | 27 Kapitel | 81 Szenen | 85.050 Wörter

**Für Google Sheets:** 
Kopieren Sie die Tabelle und fügen Sie sie in Google Sheets ein. Die Spalten werden automatisch getrennt.
